nama,kalori,lemak,karbohidrat,protein
Nasi Putih,129,0.28,27.9,2.66
Nasi Merah,110,0.89,22.78,2.56
Lontong,130,0.2,28.58,2.49
Lontong Sayur,357,8.39,59.1,11.11
Ketupat,160,2.42,30.36,3.27
Nasi Goreng Ayam,329,11.96,41.82,12.45
Nasi Goreng Udang,321,11.6,41.88,10.95
Nasi Goreng Spesial,230,13.0,22.0,7.0
Nasi Uduk,260,12.95,32.84,4.07
Nasi Kuning,150,0.27,32.96,2.99
Nasi Padang Rendang,980,55.0,95.0,28.0
Nasi Padang Ayam Bakar,689,24.08,72.06,44.11
Bubur Ayam,372,12.39,36.12,27.56
Bubur Kacang Hijau,108,3.06,17.76,3.54
Bubur Ketan Hitam,241,5.39,45.37,2.97
Bubur Manado,349,7.63,61.67,10.51
Nasi Liwet,138,2.72,25.94,2.74
Ayam Goreng,260,14.55,10.76,21.93
Ayam Panggang,167,6.63,0.0,25.01
Ayam Bakar,167,6.63,0.0,25.01
Ayam Geprek,263,17.99,7.6,17.61
Opor Ayam,163,8.67,5.6,16.53
Gulai Ayam,202,14.88,4.0,14.33
Kari Ayam,160,8.6,6.11,14.8
Soto Ayam,312,14.92,19.55,24.01
Ayam Penyet,199,8.53,5.29,25.05
Ayam Kecap,223,11.96,9.41,18.82
Sate Ayam,34,2.22,0.73,2.93
Sup Ayam,75,2.46,9.35,4.05
Bebek Goreng,337,28.44,4.32,15.39
Bebek Bakar,471,38.84,0.0,28.13
Rendang,195,11.07,4.49,19.68
Sate Kambing,32,2.11,0.72,2.84
Bakso Daging Sapi,57,3.69,2.12,3.47
Semur Daging,141,8.0,4.34,12.7
Sate Padang,161,6.63,6.79,18.01
Soto Betawi,135,8.85,11.44,4.05
Gulai Kambing,125,9.6,6.44,4.71
Gulai Daging Sapi,109,4.63,3.02,13.2
Tongseng,169,11.83,6.43,10.81
Lele Goreng,105,2.85,0.0,18.47
Ikan Bawal Goreng,113,2.69,0.0,20.78
Ikan Bawal Bakar,144,5.04,0.0,23.0
Ikan Mujair Goreng,169,6.92,2.22,24.55
Ikan Gurame,125,5.49,0.0,17.48
Ikan Gurame Asam Manis,194,10.16,12.44,12.54
Ikan Patin Goreng,126,6.55,0.0,15.75
Ikan Patin Bakar,144,6.61,2.22,17.78
Ikan Nila Goreng,128,2.65,0.0,26.15
Ikan Tongkol Balado,202,4.68,2.8,35.21
Ikan Tongkol Goreng,200,11.41,2.38,20.95
Pepes Tongkol,105,1.27,7.1,15.93
Cumi Goreng,125,2.17,9.9,15.13
Cumi Saus Padang,160,8.02,7.12,14.67
Sambal Cumi,125,6.02,4.33,12.89
Cumi Hitam,278,13.18,14.86,24.34
Udang Goreng,287,14.64,27.57,10.58
Udang Goreng Tepung,245,12.26,11.77,20.7
Udang Asam Manis,269,16.84,25.12,6.56
Udang Panggang,154,5.03,1.17,24.47
Ikan Asin,195,1.59,0.0,42.16
Ikan Teri,210,9.71,0.0,28.89
Kepiting,101,1.76,0.0,20.03
Rawon,119,7.4,3.48,9.6
Tempe Goreng,34,2.28,1.79,2.0
Tahu Goreng,35,2.62,1.36,2.23
Tempe Bacem,49,3.1,2.23,3.73
Tahu Bacem,24,1.47,1.09,1.9
Sayur Lodeh,162,9.47,14.73,6.66
Sayur Asem,80,2.76,12.9,3.18
Sayur Bening Bayam,36,0.37,7.64,1.79
Tumis Kangkung,98,8.71,3.99,2.56
Sayur Tahu Toge,86,1.93,12.91,5.93
Sayur Nangka,57,0.4,11.3,2.0
Cap Cay Kuah,67,2.59,9.67,1.58
Tumis Buncis,65,3.45,8.15,1.97
Lalapan,46,0.7,9.75,2.05
Urap,112,7.65,10.89,2.32
Kol Goreng,90,4.72,10.62,2.76
Bakmi Goreng,610,17.0,88.0,27.0
Bakmi Kuah Cha Cha,480,20.0,56.0,19.0
Mie Kocok,388,16.52,40.72,20.81
Soto Mie,370,13.75,39.75,21.05
Mie Ayam,421,18.74,46.21,16.7
Kwetiau Goreng,210,9.0,26.0,7.0
Bihun Goreng,152,5.68,18.26,5.91
Bihun Goreng Ayam,455,17.04,54.79,17.73
Risoles,96,3.75,8.66,6.33
Lemper,133,5.59,14.91,5.98
Pastel,150,6.13,19.63,3.8
Martabak Telur,185,7.68,18.52,9.9
Martabak Manis,270,11.31,37.37,7.01
Pisang Goreng,68,3.58,9.74,0.4
Bakwan,137,11.59,6.74,1.99
Bakso Goreng,57,3.77,2.39,3.22
Tahu Bulat,35,2.6,0.68,2.36
Indomie Goreng,380,17.0,49.0,7.2
Indomie Ayam Bawang,310,11.0,43.0,7.0
Indomie Soto,320,13.0,44.0,7.0
Indomie Goreng Aceh,430,19.0,55.0,9.0
Indomie Kari Ayam,330,14.0,43.0,7.0
Indomie Rebus,300,11.0,43.0,7.0
Indomie Goreng Rendang,440,20.0,57.0,8.0
Indomie Goreng Jumbo,540,23.0,74.0,11.0
Indomie Nyemek Bangladesh,380,16.0,50.0,7.0
Indomie Goreng Ayam Geprek,410,19.0,52.0,8.0
Sambal Goreng,15,0.41,1.56,1.37
Sambal Pedas,35,2.0,4.0,1.0
Sambal Terasi Uleg,50,3.0,6.0,1.0
Sambal Rawit,25,1.5,3.0,1.0
Sambal Terasi,15,0.5,2.0,0.0
Sambal Terasi Rebus,73,3.05,11.02,1.84
Sambal Matah,21,1.54,1.79,0.44
Sambal Bawang,30,2.5,1.0,0.0
Sambal Ijo,45,3.0,4.0,1.0
Sambal Geprek,25,1.5,2.0,0.0
